State_No,County_No,Votes_For,Votes_Against,Total_Votes,Ballot_Type,Population,Per_Capita_Income,Medium_Family_Income,Size_of_County,Population_Density,Percent_White,Percent_Black,Percent_Other,Percent_Male,Percent_Female,No_of_Churches,No_of_Church_Members,Poverty_Level_Rate,Unemployment_Rate,Age_Less_than_18,Age_18_24,Age_24_44,Age_44_64,Age_Older_than_64,MSA,Percent_Minority
9,71,2330,1863,4193,2,28343,"$14,930 ","$24,861 ",1086.40,26.09,.89,.01,.10,.492,.508,61,12785,18.10,4.60,6865,5040,7465,4666,4307,2,.11
9,72,1201,820,2021,2,17499,"$12,553 ","$19,687 ",769.10,22.75,.61,.28,.12,.500,.500,62,8750,28.00,5.10,4488,1632,4640,3293,3446,2,.39
9,73,2487,1712,4199,2,24517,"$14,325 ","$23,676 ",891.60,27.50,.91,.07,.03,.483,.517,101,14819,18.70,8.00,5988,1875,6306,5206,5142,2,.09
9,74,2472,985,3457,2,19994,"$16,847 ","$24,780 ",950.10,21.04,.83,.09,.09,.486,.514,55,6468,14.80,2.30,4840,1273,5169,3911,4801,2,.17
9,75,480,424,904,2,4645,"$12,465 ","$22,477 ",901.20,5.15,.75,.04,.21,.483,.517,18,3261,18.50,5.80,1206,279,1123,1010,1027,2,.25
9,76,546,664,1210,2,8451,"$18,168 ","$24,152 ",992.30,8.52,.55,.05,.40,.485,.515,27,5033,27.40,5.70,2687,703,2101,1581,1379,2,.45
9,77,105,125,230,2,1740,"$15,127 ","$20,875 ",706.70,2.46,.82,.05,.13,.461,.539,11,1418,17.90,1.30,425,124,410,333,448,2,.18
9,78,16895,6785,23680,2,241596,"$20,503 ","$48,711 ",875.00,276.11,.53,.21,.26,.502,.498,106,40884,10.00,3.60,80536,18964,93753,36023,12320,1,.47
9,79,704,717,1421,2,7913,"$14,504 ","$25,895 ",285.70,27.70,.90,.05,.05,.485,.515,24,4556,16.20,7.10,2028,559,2036,1785,1505,2,.10
9,80,1246,1085,2331,2,15740,"$14,073 ","$24,933 ",885.30,17.78,.76,.19,.04,.482,.518,43,8053,18.60,5.80,4293,1083,4267,3069,3028,2,.24
